model,layer,condition,aucroc,acc_at_1,acc_at_3,same_avg_cos,diff_avg_cos,cos_gap
sentence-transformers/LaBSE,1,baseline,0.8429964411098293,0.503125,0.5875,0.9401420950889587,0.8692035675048828,0.07093852758407593
sentence-transformers/LaBSE,1,filter_no_empty,0.8553722862284441,0.609375,0.703125,0.9453599452972412,0.8727149963378906,0.07264494895935059
sentence-transformers/LaBSE,1,filter_content_only,0.8636596462683419,0.74375,0.81875,0.9354407787322998,0.8417250514030457,0.09371572732925415
sentence-transformers/LaBSE,1,abtt_D10,0.9703642764359103,0.875,0.9125,0.5128792524337769,0.0002981447905767709,0.5125811076432001
sentence-transformers/LaBSE,6,baseline,0.9038793924831083,0.684375,0.778125,0.9433489441871643,0.8617997169494629,0.08154922723770142
sentence-transformers/LaBSE,6,filter_no_empty,0.9142301031306969,0.76875,0.825,0.9462063312530518,0.8602073788642883,0.08599895238876343
sentence-transformers/LaBSE,6,filter_content_only,0.9195864790578447,0.809375,0.859375,0.9425861239433289,0.8433195948600769,0.09926652908325195
sentence-transformers/LaBSE,6,abtt_D10,0.9669304099968723,0.85625,0.896875,0.5235720276832581,0.0016530748689547181,0.5219189528143033
sentence-transformers/LaBSE,9,baseline,0.9162712540896797,0.7875,0.84375,0.952743411064148,0.861323893070221,0.091419517993927
sentence-transformers/LaBSE,9,filter_no_empty,0.9214251895730541,0.821875,0.853125,0.9548903703689575,0.8623399138450623,0.09255045652389526
sentence-transformers/LaBSE,9,filter_content_only,0.924130361115613,0.83125,0.878125,0.9556844830513,0.8605905175209045,0.09509396553039551
sentence-transformers/LaBSE,9,abtt_D10,0.9712417985737274,0.8625,0.890625,0.5567020177841187,0.0005278323078528047,0.5561741854762658
sentence-transformers/LaBSE,11,baseline,0.9479274775195097,0.865625,0.8875,0.9721193313598633,0.9126370549201965,0.05948227643966675
sentence-transformers/LaBSE,11,filter_no_empty,0.9500042231319765,0.86875,0.884375,0.9712975025177002,0.9094687700271606,0.06182873249053955
sentence-transformers/LaBSE,11,filter_content_only,0.949343531942651,0.871875,0.88125,0.9684712290763855,0.8974828124046326,0.07098841667175293
sentence-transformers/LaBSE,11,abtt_D10,0.9695024168305149,0.9125,0.925,0.6000434756278992,0.0006157476454973221,0.5994277279824018
